name,open_price,high_price,low_price,close_price,price_change,change_rate,trading_volume,date
현대차,192700,194000,189700,192800,3800,+2.01%,590571,2025-04-29
현대차,188100,190100,187000,189000,200,+0.11%,450860,2025-04-28
현대차,191000,191000,188600,188800,-100,-0.05%,499815,2025-04-25
현대차,191100,191200,186500,188900,-1100,-0.58%,641108,2025-04-24
현대차,188900,190400,187400,190000,4400,+2.37%,606865,2025-04-23
현대차,186100,187700,185200,185600,-1700,-0.91%,391984,2025-04-22
현대차,187500,188800,185500,187300,100,+0.05%,352294,2025-04-21
현대차,182800,188300,181200,187200,5500,+3.03%,661525,2025-04-18
현대차,182600,184600,181500,181700,-0,0.00%,522206,2025-04-17
현대차,185200,186400,181300,181700,-5300,-2.83%,569727,2025-04-16
현대차,185400,189200,183700,187000,7700,+4.29%,1051062,2025-04-15
현대차,178400,180300,177500,179300,1800,+1.01%,536747,2025-04-14
현대차,181800,183000,175800,177500,-9500,-5.08%,1647315,2025-04-11
현대차,191700,192900,186500,187000,9000,+5.06%,1424848,2025-04-10
현대차,177500,180900,177300,178000,-1200,-0.67%,689539,2025-04-09
현대차,181400,183800,177500,179200,100,+0.06%,1044729,2025-04-08
현대차,184700,185300,178900,179100,-12700,-6.62%,1243646,2025-04-07
현대차,191300,196500,189600,191800,-2000,-1.03%,809110,2025-04-04
현대차,191000,194500,189100,193800,-2500,-1.27%,953884,2025-04-03
현대차,198800,199100,195800,196300,-2300,-1.16%,613356,2025-04-02
